Type,Response ID,Start Date,End Date,Status,Source Type,InteractPedestrian,InteractBicycle,CircumstancesCoded,FeelingsProvingGround,SafetyHuman,SafetyAV,AVSafetyPotential,RegulationTesting,RegulationSpeed,RegulationSchoolZone,RegulationShareData,AdvocacyIssues,BikePghPosition,PayingAttentionAV,FamiliarityTechnoology,ZipCode
Public,260383522,02/24/2017 5:38:57 AM PST,02/24/2017 5:42:01 AM PST,COMPLETE,Survey Link,No,Yes,,Somewhat Disapprove,2,3,Maybe,Yes,Yes,Not sure,Yes,Agree,Neither Support nor Oppose,To a moderate extent,Somewhat familiar,15217
Public,260383653,02/24/2017 5:47:53 AM PST,02/24/2017 5:50:35 AM PST,COMPLETE,Survey Link,No,No,,Approve,3,No experience,Yes,Yes,Yes,Yes,Yes,Neutral,Neither Support nor Oppose,To little extent,Not familiar at all,15146
Public,260384224,02/24/2017 6:22:15 AM PST,02/24/2017 6:24:02 AM PST,COMPLETE,Survey Link,Yes,Yes,,Neutral,4,4,No,Yes,Yes,No,Yes,Agree,No Opinion,To some extent,Somewhat familiar,15210
Public,260384575,02/24/2017 6:37:32 AM PST,02/24/2017 6:52:17 AM PST,COMPLETE,Survey Link,No,No,,Somewhat Approve,2,2,Maybe,Not sure,Not sure,Yes,Yes,Neutral,Neither Support nor Oppose,To some extent,Not familiar at all,15084
Public,260384613,02/24/2017 6:40:21 AM PST,02/24/2017 6:49:23 AM PST,COMPLETE,Survey Link,No,No,,Somewhat Disapprove,3,No experience,Not sure,Yes,Yes,Yes,Yes,Agree,Neither Support nor Oppose,To some extent,Somewhat familiar,15241
Public,260387159,02/24/2017 7:36:31 AM PST,02/24/2017 7:38:19 AM PST,COMPLETE,Survey Link,No,No,,Approve,3,3,Yes,Yes,No,No,Yes,Neutral,Actively Support,To a large extent,Mostly familiar,15090
Public,260387887,02/24/2017 8:05:04 AM PST,02/26/2017 8:15:23 AM PST,INCOMPLETE,Survey Link,,,,,,,,,,,,,,,,
Public,260388400,02/24/2017 8:29:38 AM PST,02/24/2017 8:32:18 AM PST,COMPLETE,Survey Link,No,No,,Somewhat Approve,4,No experience,Yes,Yes,Yes,Yes,Yes,Neutral,Neither Support nor Oppose,To little extent,Not familiar at all,15212
Public,260388725,02/24/2017 8:46:55 AM PST,02/24/2017 8:48:52 AM PST,COMPLETE,Survey Link,No,No,,Disapprove,3,No experience,No,Yes,Yes,Yes,Yes,Agree,Actively Oppose,To little extent,Not familiar at all,15024
Public,260388739,02/24/2017 8:47:28 AM PST,02/24/2017 8:49:33 AM PST,COMPLETE,Survey Link,No,No,,Somewhat Approve,4,4,Yes,Yes,Yes,Yes,Yes,Agree,Neither Support nor Oppose,To some extent,Somewhat familiar,15218
Public,260388903,02/24/2017 8:55:38 AM PST,02/24/2017 9:01:51 AM PST,COMPLETE,Survey Link,No,Not sure,,Disapprove,1,1,Maybe,Yes,Yes,Yes,Yes,Agree,Actively Oppose,To some extent,Somewhat familiar,15003
Public,260392358,02/24/2017 11:15:36 AM PST,02/24/2017 11:19:13 AM PST,COMPLETE,Survey Link,No,No,,Neutral,3,No experience,Not sure,Yes,Yes,Yes,Yes,Agree,Neither Support nor Oppose,To little extent,Mostly Unfamiliar,15238
Public,260393285,02/24/2017 11:51:28 AM PST,02/24/2017 11:58:17 AM PST,COMPLETE,Survey Link,No,Yes,,Somewhat Disapprove,3,4,Not sure,No,No,No,Yes,Disagree,Neither Support nor Oppose,To a large extent,Somewhat familiar,15224
Public,260396004,02/24/2017 1:20:53 PM PST,02/24/2017 1:23:58 PM PST,COMPLETE,Survey Link,Not sure,Not sure,,Approve,2,4,Yes,Yes,No,No,Yes,Disagree,Neither Support nor Oppose,To some extent,Mostly familiar,15220
Public,260396610,02/24/2017 1:39:19 PM PST,02/24/2017 1:41:10 PM PST,COMPLETE,Survey Link,No,No,,Neutral,5,5,Not sure,Yes,Not sure,No,No,Neutral,Neither Support nor Oppose,To some extent,Mostly Unfamiliar,15211
Public,260398314,02/24/2017 2:43:44 PM PST,02/24/2017 2:47:33 PM PST,COMPLETE,Survey Link,No,No,,Somewhat Approve,3,4,Maybe,Not sure,Not sure,Yes,Yes,Disagree,Neither Support nor Oppose,To some extent,Mostly Unfamiliar,15216
Public,260404178,02/24/2017 7:47:04 PM PST,02/24/2017 7:48:52 PM PST,COMPLETE,Survey Link,Yes,Yes,,Disapprove,3,1,No,Yes,Not sure,Yes,Yes,Agree,Actively Oppose,To a moderate extent,Mostly Unfamiliar,15219
Public,260404871,02/24/2017 8:40:26 PM PST,02/24/2017 8:43:07 PM PST,COMPLETE,Social,Yes,No,,Neutral,4,3,Maybe,Yes,Yes,Not sure,Yes,Neutral,No Opinion,To little extent,Somewhat familiar,15232
Public,260408133,02/25/2017 2:36:23 AM PST,02/25/2017 2:38:11 AM PST,COMPLETE,Social,Yes,Yes,,Approve,4,5,Yes,No,No,No,No,Neutral,Actively Support,To some extent,Somewhat familiar,15201
Public,260409380,02/25/2017 4:52:33 AM PST,02/25/2017 4:53:40 AM PST,COMPLETE,Survey Link,No,Not sure,,Somewhat Approve,3,4,Yes,Yes,Yes,Not sure,Not sure,Agree,Actively Support,To some extent,Somewhat familiar,15221
Public,260410268,02/25/2017 6:08:45 AM PST,02/27/2017 6:15:23 AM PST,INCOMPLETE,Social,,,,,,,,,,,,,,,,
Public,260419335,02/25/2017 7:38:35 AM PST,02/25/2017 7:44:53 AM PST,COMPLETE,Survey Link,No,No,,Somewhat Approve,5,5,Yes,Yes,Not sure,Not sure,Yes,Disagree,Neither Support nor Oppose,To a moderate extent,Somewhat familiar,15228
Public,260430893,02/25/2017 8:45:00 AM PST,02/25/2017 8:46:44 AM PST,COMPLETE,Survey Link,No,No,,Approve,4,5,Yes,Not sure,No,No,Not sure,Neutral,Actively Support,To a large extent,Mostly familiar,15213
Public,260430978,02/25/2017 8:45:09 AM PST,02/25/2017 9:03:29 AM PST,COMPLETE,Survey Link,No,No,,Somewhat Disapprove,2,2,Maybe,Yes,Yes,Not sure,Yes,Neutral,No Opinion,To some extent,Not familiar at all,15233
Public,260463013,02/25/2017 9:34:34 AM PST,02/25/2017 9:41:17 AM PST,COMPLETE,Survey Link,No,Yes,,Neutral,4,4,Yes,Yes,No,Not sure,Yes,Neutral,No Opinion,To some extent,Somewhat familiar,15206
Public,260533577,02/25/2017 12:10:39 PM PST,02/25/2017 12:12:45 PM PST,COMPLETE,Survey Link,No,Yes,,Neutral,3,3,Maybe,Yes,Not sure,No,Yes,Disagree,Neither Support nor Oppose,To a moderate extent,Mostly Unfamiliar,15218
Public,260572085,02/25/2017 2:56:32 PM PST,02/25/2017 2:59:09 PM PST,COMPLETE,Survey Link,No,No,,Approve,3,4,Yes,Yes,Yes,No,No,Neutral,Neither Support nor Oppose,To a large extent,Somewhat familiar,15101
Public,260583890,02/26/2017 8:01:13 AM PST,02/26/2017 8:09:34 AM PST,COMPLETE,Survey Link,No,Yes,,Approve,2,4,Yes,Not sure,Yes,No,Yes,Neutral,Actively Support,To a moderate extent,Somewhat familiar,15212
Public,260586251,02/26/2017 11:18:21 AM PST,02/26/2017 11:22:01 AM PST,COMPLETE,Survey Link,No,No,,Neutral,4,3,Yes,Yes,Yes,Not sure,Yes,Agree,No Opinion,To a moderate extent,Somewhat familiar,21740
Public,260616987,02/27/2017 3:37:10 AM PST,03/01/2017 3:40:24 AM PST,INCOMPLETE,Survey Link,,,,,,,,,,,,,,,,
Public,260654125,02/27/2017 10:40:43 AM PST,02/27/2017 10:42:30 AM PST,COMPLETE,Survey Link,No,No,,Approve,3,3,Not sure,Not sure,Yes,Yes,Yes,Neutral,Neither Support nor Oppose,To some extent,Not familiar at all,16002
Public,260655259,02/27/2017 10:52:25 AM PST,02/27/2017 10:54:25 AM PST,COMPLETE,Survey Link,Yes,No,,Approve,3,5,Yes,Yes,No,No,Not sure,Neutral,Actively Support,To little extent,Mostly familiar,15217
Public,260655627,02/27/2017 10:55:36 AM PST,02/27/2017 11:09:58 AM PST,COMPLETE,Survey Link,Not sure,Not sure,,Approve,3,4,Yes,Yes,No,No,Not sure,Agree,Actively Support,To a large extent,Extremely familiar,15217
Public,260657599,02/27/2017 11:12:33 AM PST,02/27/2017 11:19:09 AM PST,COMPLETE,Survey Link,No,No,,Neutral,3,2,No,Yes,Yes,Yes,Yes,Agree,No Opinion,To little extent,Somewhat familiar,15210
Public,260661960,02/27/2017 12:13:03 PM PST,02/27/2017 12:21:27 PM PST,COMPLETE,Survey Link,Yes,No,,Disapprove,3,1,Yes,Yes,Yes,Yes,Yes,Strongly Agree,Actively Oppose,To a moderate extent,Somewhat familiar,15219
Public,260667154,02/27/2017 1:44:14 PM PST,02/27/2017 1:47:35 PM PST,COMPLETE,Survey Link,No,No,,Approve,2,No experience,Yes,Yes,No,No,Yes,Neutral,Actively Support,To a large extent,Somewhat familiar,15228
Public,260672333,02/27/2017 4:18:49 PM PST,02/27/2017 4:21:53 PM PST,COMPLETE,Survey Link,Not sure,Yes,,Disapprove,2,1,No,Yes,Yes,Yes,Yes,Agree,Actively Oppose,To a large extent,Mostly Unfamiliar,16066
Public,260684984,02/28/2017 4:57:01 AM PST,02/28/2017 5:01:25 AM PST,COMPLETE,Survey Link,No,Not sure,,Neutral,3,2,Yes,Yes,Yes,Yes,Yes,Neutral,Neither Support nor Oppose,To a moderate extent,Somewhat familiar,15211
Public,260689686,02/28/2017 8:32:26 AM PST,02/28/2017 8:33:56 AM PST,COMPLETE,Survey Link,No,Yes,,Disapprove,4,1,No,Yes,Not sure,Yes,Yes,Agree,Actively Oppose,To a moderate extent,Somewhat familiar,15232
Public,260690240,02/28/2017 8:52:33 AM PST,03/03/2017 9:00:24 AM PST,INCOMPLETE,Survey Link,,,,,,,,,,,,,,,,
Public,260692440,02/28/2017 10:22:40 AM PST,02/28/2017 11:10:28 AM PST,COMPLETE,Survey Link,Not sure,Not sure,,Approve,4,4,Yes,Not sure,Yes,No,Yes,Neutral,Neither Support nor Oppose,To some extent,Mostly familiar,15232
Public,260693652,02/28/2017 11:21:01 AM PST,02/28/2017 11:25:04 AM PST,COMPLETE,Survey Link,No,No,,Somewhat Disapprove,3,2,No,Yes,Yes,Yes,Not sure,Disagree,Neither Support nor Oppose,To little extent,Mostly Unfamiliar,15241
Public,260707675,02/28/2017 7:59:38 PM PST,02/28/2017 8:04:40 PM PST,COMPLETE,Survey Link,No,No,,Approve,4,4,Yes,Yes,No,Yes,Not sure,Neutral,Actively Support,To a large extent,Mostly familiar,15206
Public,260714439,03/01/2017 4:24:24 AM PST,03/01/2017 4:28:14 AM PST,COMPLETE,Survey Link,Not sure,Not sure,,Disapprove,2,2,Maybe,Yes,Yes,Yes,Yes,Strongly Agree,Neither Support nor Oppose,To some extent,Not familiar at all,15232
Public,260716630,03/01/2017 6:12:14 AM PST,03/01/2017 6:15:26 AM PST,COMPLETE,Survey Link,No,No,,Somewhat Approve,2,4,Yes,Yes,Yes,Not sure,Yes,Neutral,Neither Support nor Oppose,To a moderate extent,Somewhat familiar,15226
Public,260719158,03/01/2017 8:06:42 AM PST,03/01/2017 8:10:41 AM PST,COMPLETE,Survey Link,Yes,No,,Approve,2,4,Yes,No,No,No,No,Disagree,Actively Support,To a moderate extent,Mostly familiar,15224
Public,260732695,03/01/2017 2:56:15 PM PST,03/01/2017 2:58:29 PM PST,COMPLETE,Survey Link,No,No,,Approve,3,No experience,Yes,Not sure,No,No,No,Neutral,Neither Support nor Oppose,To a large extent,Extremely familiar,15024
Public,260769190,03/02/2017 6:08:42 AM PST,03/02/2017 6:11:47 AM PST,COMPLETE,Survey Link,No,No,,Disapprove,3,3,No,Yes,Yes,Yes,Yes,Strongly Agree,Actively Oppose,To some extent,Somewhat familiar,15601
Public,260775674,03/02/2017 11:03:38 AM PST,03/02/2017 11:09:53 AM PST,COMPLETE,Social,Yes,No,,Approve,4,5,Yes,Not sure,Not sure,No,Not sure,Neutral,Actively Support,To a moderate extent,Somewhat familiar,15207
Public,260779390,03/02/2017 1:53:46 PM PST,03/04/2017 2:00:24 PM PST,INCOMPLETE,Survey Link,,,,,,,,,,,,,,,,
Public,260781453,03/02/2017 3:32:32 PM PST,03/04/2017 3:35:24 PM PST,INCOMPLETE,Survey Link,,,,,,,,,,,,,,,,
Public,260781861,03/02/2017 3:55:24 PM PST,03/02/2017 3:56:54 PM PST,COMPLETE,Social,No,No,,Disapprove,2,1,Yes,Yes,Yes,Yes,Yes,Disagree,Neither Support nor Oppose,To a moderate extent,Extremely familiar,15201
Public,260782166,03/02/2017 4:04:40 PM PST,03/02/2017 4:11:24 PM PST,COMPLETE,Survey Link,No,No,,Disapprove,3,2,Not sure,Yes,Yes,Yes,Yes,Strongly Disagree,Actively Oppose,To a moderate extent,Somewhat familiar,15219
Public,260827327,03/03/2017 10:42:22 AM PST,03/03/2017 10:46:00 AM PST,COMPLETE,Social,Yes,Yes,,Approve,2,4,Yes,Not sure,Yes,No,Not sure,Neutral,Actively Support,To a moderate extent,Somewhat familiar,15102
Public,260837817,03/03/2017 5:33:56 PM PST,03/03/2017 5:35:19 PM PST,COMPLETE,Social,No,No,,Somewhat Disapprove,3,3,Not sure,Yes,Yes,Not sure,Yes,Neutral,No Opinion,To some extent,Mostly Unfamiliar,15208
Public,260847964,03/04/2017 6:17:37 AM PST,03/04/2017 6:19:06 AM PST,COMPLETE,Social,Yes,Yes,,Approve,2,4,Yes,Yes,No,No,Yes,Strongly Disagree,Actively Support,To a large extent,Extremely familiar,15217
Public,260849188,03/04/2017 7:37:30 AM PST,03/04/2017 7:39:29 AM PST,COMPLETE,Survey Link,No,No,,Somewhat Disapprove,3,2,Not sure,Yes,Yes,Yes,Yes,Agree,Neither Support nor Oppose,To some extent,Mostly Unfamiliar,15116
Public,260857266,03/04/2017 12:00:27 PM PST,03/04/2017 12:02:41 PM PST,COMPLETE,Survey Link,Not sure,Not sure,,Approve,1,3,Yes,Yes,Not sure,Not sure,Yes,Neutral,Actively Support,To some extent,Mostly familiar,15221
Public,260861918,03/04/2017 5:58:15 PM PST,03/04/2017 5:59:42 PM PST,COMPLETE,Survey Link,No,No,,Approve,4,No experience,Yes,Yes,Not sure,No,Yes,Neutral,Actively Support,To a moderate extent,Somewhat familiar,15207
Public,260877108,03/05/2017 4:25:50 PM PST,03/05/2017 4:39:00 PM PST,COMPLETE,Survey Link,No,No,,Somewhat Approve,No experience,No experience,Yes,Yes,No,Yes,Yes,Agree,Actively Support,To some extent,Somewhat familiar,10011
Public,260882306,03/05/2017 10:20:40 PM PST,03/05/2017 10:23:08 PM PST,COMPLETE,Survey Link,No,Yes,,Approve,3,2,Yes,No,No,No,Yes,Neutral,Actively Support,To a large extent,Somewhat familiar,15203
Public,260889502,03/06/2017 6:04:39 AM PST,03/06/2017 6:08:57 AM PST,COMPLETE,Survey Link,No,No,,Approve,4,No experience,Yes,Not sure,Yes,Not sure,Yes,Neutral,Actively Support,To some extent,Somewhat familiar,15209
Public,260889508,03/06/2017 6:04:59 AM PST,03/06/2017 6:10:58 AM PST,COMPLETE,Survey Link,No,Not sure,,Approve,3,4,Yes,Yes,Yes,Yes,Yes,Agree,Actively Support,To a moderate extent,Mostly familiar,15217
Public,260889520,03/06/2017 6:05:51 AM PST,03/06/2017 6:08:35 AM PST,COMPLETE,Survey Link,No,Yes,,Approve,5,3,Yes,Yes,Yes,No,Yes,Agree,Neither Support nor Oppose,To a moderate extent,Somewhat familiar,15206
Public,260889569,03/06/2017 6:07:28 AM PST,03/06/2017 6:11:48 AM PST,COMPLETE,Survey Link,No,No,,Approve,3,5,Yes,No,No,No,Not sure,Strongly Disagree,Actively Support,To a large extent,Extremely familiar,16105
Public,260889619,03/06/2017 6:09:08 AM PST,03/06/2017 6:10:36 AM PST,COMPLETE,Survey Link,No,Yes,,Approve,3,4,Yes,Yes,Yes,No,Yes,Agree,Actively Support,To some extent,Somewhat familiar,15221
Public,260889863,03/06/2017 6:16:09 AM PST,03/06/2017 6:17:57 AM PST,COMPLETE,Survey Link,No,No,,Somewhat Disapprove,5,4,Yes,Yes,Yes,Not sure,Yes,Strongly Agree,Neither Support nor Oppose,To a large extent,Mostly Unfamiliar,15212
Public,260889867,03/06/2017 6:16:13 AM PST,03/06/2017 6:20:02 AM PST,COMPLETE,Survey Link,No,Yes,,Approve,3,4,Yes,Yes,No,No,Yes,Neutral,Actively Support,To some extent,Somewhat familiar,15090
Public,260889881,03/06/2017 6:17:06 AM PST,03/06/2017 6:20:25 AM PST,COMPLETE,Survey Link,No,No,,Neutral,3,No experience,Maybe,Yes,Yes,Yes,Yes,Agree,Actively Support,To some extent,Somewhat familiar,15132
Public,260889883,03/06/2017 6:17:09 AM PST,03/06/2017 6:21:24 AM PST,COMPLETE,Survey Link,No,Yes,,Approve,3,3,Yes,Yes,Not sure,No,Not sure,Disagree,Neither Support nor Oppose,To a large extent,Extremely familiar,15224
Public,260889898,03/06/2017 6:17:38 AM PST,03/06/2017 6:33:58 AM PST,COMPLETE,Survey Link,Yes,No,,Approve,3,4,Yes,No,No,No,Yes,Strongly Agree,Actively Support,To a large extent,Mostly familiar,15216
Public,260889922,03/06/2017 6:18:34 AM PST,03/06/2017 6:22:10 AM PST,COMPLETE,Survey Link,No,No,,Approve,4,4,Yes,No,No,No,Yes,Disagree,Actively Support,To a large extent,Somewhat familiar,15317
Public,260889931,03/06/2017 6:19:01 AM PST,03/06/2017 6:25:43 AM PST,COMPLETE,Survey Link,No,No,,Somewhat Disapprove,2,No experience,Maybe,Yes,Yes,Yes,Yes,,Actively Oppose,To a moderate extent,Somewhat familiar,15232
Public,260889941,03/06/2017 6:19:12 AM PST,03/06/2017 6:26:22 AM PST,COMPLETE,Survey Link,No,No,,Approve,4,3,Yes,No,No,Not sure,No,Neutral,Neither Support nor Oppose,To some extent,Somewhat familiar,15220
Public,260890022,03/06/2017 6:21:40 AM PST,03/06/2017 6:24:16 AM PST,COMPLETE,Survey Link,No,No,,Approve,3,4,Yes,No,No,No,No,Neutral,Actively Support,To a moderate extent,Mostly familiar,15201
Public,260890059,03/06/2017 6:23:45 AM PST,03/06/2017 6:26:38 AM PST,COMPLETE,Survey Link,No,No,,Disapprove,4,2,Maybe,Yes,Yes,Yes,Yes,Agree,Actively Oppose,To a moderate extent,Somewhat familiar,15218
Public,260890077,03/06/2017 6:24:11 AM PST,03/06/2017 6:26:59 AM PST,COMPLETE,Survey Link,No,No,,Approve,4,4,Not sure,Yes,Yes,Not sure,Not sure,Agree,Actively Support,To little extent,Mostly Unfamiliar,15224
Public,260890082,03/06/2017 6:24:22 AM PST,03/06/2017 7:29:29 AM PST,COMPLETE,Survey Link,No,Yes,,Approve,2,4,Yes,Yes,Yes,Not sure,Yes,,Actively Support,To a large extent,Mostly familiar,15224
Public,260890092,03/06/2017 6:25:02 AM PST,03/06/2017 6:26:37 AM PST,COMPLETE,Survey Link,No,No,,Neutral,4,No experience,Maybe,Yes,Yes,Yes,Yes,Neutral,No Opinion,Not at all,Not familiar at all,15203
Public,260890128,03/06/2017 6:26:23 AM PST,03/06/2017 6:27:54 AM PST,COMPLETE,Survey Link,No,Yes,,Somewhat Approve,4,4,Yes,Yes,No,No,Yes,Neutral,No Opinion,To a moderate extent,Somewhat familiar,15208
Public,260890132,03/06/2017 6:26:32 AM PST,03/06/2017 6:29:07 AM PST,COMPLETE,Survey Link,No,No,,Approve,3,No experience,Yes,No,No,No,Not sure,Disagree,Neither Support nor Oppose,To a moderate extent,Mostly familiar,15228
Public,260890191,03/06/2017 6:28:57 AM PST,03/06/2017 6:35:34 AM PST,COMPLETE,Survey Link,No,Yes,,Approve,3,4,Yes,Yes,Not sure,Not sure,Not sure,Strongly Disagree,Neither Support nor Oppose,To little extent,Somewhat familiar,15203
Public,260890320,03/06/2017 6:33:11 AM PST,03/06/2017 6:36:28 AM PST,COMPLETE,Survey Link,No,No,,Somewhat Approve,4,4,Yes,Yes,Yes,No,Yes,Agree,Actively Support,To a moderate extent,Mostly familiar,15213
Public,260890442,03/06/2017 6:37:44 AM PST,03/06/2017 7:38:06 AM PST,COMPLETE,Survey Link,No,No,,Somewhat Approve,4,3,No,Yes,Yes,Yes,Yes,Neutral,Actively Support,To a moderate extent,Somewhat familiar,15222
Public,260890480,03/06/2017 6:39:05 AM PST,03/06/2017 6:40:46 AM PST,COMPLETE,Survey Link,No,No,,Neutral,2,3,Yes,Yes,Not sure,No,Yes,Neutral,No Opinion,To some extent,Somewhat familiar,15224
Public,260890502,03/06/2017 6:40:08 AM PST,03/06/2017 6:41:37 AM PST,COMPLETE,Survey Link,No,Yes,,Approve,1,5,Yes,Yes,Yes,No,Yes,Strongly Agree,Actively Support,To a large extent,Extremely familiar,15241
Public,260890729,03/06/2017 6:46:16 AM PST,03/06/2017 6:47:41 AM PST,COMPLETE,Survey Link,No,No,,Disapprove,3,1,Yes,Yes,Yes,Yes,Yes,Strongly Agree,Actively Oppose,To a large extent,Extremely familiar,26003
Public,260890821,03/06/2017 6:50:07 AM PST,03/06/2017 7:00:31 AM PST,COMPLETE,Survey Link,No,No,,Neutral,3,3,Not sure,Yes,Yes,Yes,Not sure,Agree,Neither Support nor Oppose,To some extent,Not familiar at all,15116
Public,260890822,03/06/2017 6:50:08 AM PST,03/06/2017 6:54:02 AM PST,COMPLETE,Survey Link,Not sure,Not sure,,Somewhat Approve,2,No experience,Yes,Yes,Not sure,No,Yes,Neutral,Actively Support,To a large extent,Mostly familiar,15237
Public,260890854,03/06/2017 6:51:35 AM PST,03/06/2017 6:53:15 AM PST,COMPLETE,Survey Link,No,No,,Somewhat Approve,4,4,Maybe,Yes,Yes,Not sure,Not sure,Agree,No Opinion,To some extent,Somewhat familiar,15206
Public,260890922,03/06/2017 6:54:13 AM PST,03/06/2017 6:58:32 AM PST,COMPLETE,Survey Link,No,No,,Somewhat Approve,2,4,Yes,Yes,Yes,Not sure,Yes,Agree,Actively Support,To some extent,Mostly Unfamiliar,15211
Public,260891182,03/06/2017 7:02:22 AM PST,03/06/2017 7:09:03 AM PST,COMPLETE,Survey Link,No,No,,Somewhat Approve,3,No experience,Maybe,Yes,Yes,Yes,Yes,Neutral,Neither Support nor Oppose,To some extent,Somewhat familiar,15236
Public,260891262,03/06/2017 7:05:09 AM PST,03/06/2017 7:07:23 AM PST,COMPLETE,Survey Link,No,No,,Somewhat Disapprove,2,2,Not sure,Yes,Yes,Yes,Yes,Agree,Actively Oppose,To some extent,Somewhat familiar,15221
Public,260891493,03/06/2017 7:12:12 AM PST,03/06/2017 7:14:48 AM PST,COMPLETE,Survey Link,No,No,,Somewhat Approve,2,2,Not sure,Yes,Yes,Yes,Not sure,Neutral,No Opinion,To some extent,Mostly Unfamiliar,15123
Public,260891527,03/06/2017 7:14:06 AM PST,03/06/2017 7:25:40 AM PST,COMPLETE,Survey Link,No,No,,Approve,5,1,Maybe,Yes,No,Yes,Yes,Neutral,Actively Support,To a moderate extent,Somewhat familiar,15208
Public,260891638,03/06/2017 7:18:08 AM PST,03/06/2017 7:20:57 AM PST,COMPLETE,Survey Link,No,No,,Approve,4,4,Yes,Yes,Yes,No,No,Neutral,Actively Support,To a moderate extent,Somewhat familiar,15203
Public,260891686,03/06/2017 7:19:46 AM PST,03/06/2017 7:22:57 AM PST,COMPLETE,Survey Link,No,No,,Approve,3,5,Yes,No,No,No,Yes,Disagree,Actively Support,To a moderate extent,Somewhat familiar,15147
Public,260891808,03/06/2017 7:23:25 AM PST,03/06/2017 7:34:55 AM PST,COMPLETE,Survey Link,No,No,,Somewhat Approve,3,3,Yes,Yes,No,Not sure,Yes,Neutral,Neither Support nor Oppose,To some extent,Mostly familiar,15221
Public,260891958,03/06/2017 7:27:35 AM PST,03/06/2017 7:29:08 AM PST,COMPLETE,Survey Link,No,No,,Somewhat Approve,3,3,Maybe,Not sure,Yes,No,Yes,Neutral,Neither Support nor Oppose,To some extent,Somewhat familiar,15108
Public,260892701,03/06/2017 7:55:11 AM PST,03/06/2017 7:58:51 AM PST,COMPLETE,Survey Link,No,No,,Somewhat Approve,4,No experience,Yes,Yes,Not sure,Not sure,Yes,Neutral,Neither Support nor Oppose,To some extent,Mostly Unfamiliar,15215
Public,260893227,03/06/2017 8:15:02 AM PST,03/06/2017 8:17:57 AM PST,COMPLETE,Survey Link,No,No,,Somewhat Disapprove,2,2,Maybe,Yes,Yes,Yes,Yes,Neutral,Neither Support nor Oppose,To little extent,Not familiar at all,15030
Public,260894307,03/06/2017 8:46:46 AM PST,03/06/2017 8:57:24 AM PST,COMPLETE,Survey Link,No,Not sure,,Neutral,2,3,Not sure,Yes,Yes,Not sure,Yes,Neutral,No Opinion,To some extent,Not familiar at all,15102
Public,260894418,03/06/2017 8:52:13 AM PST,03/06/2017 8:56:24 AM PST,COMPLETE,Survey Link,No,No,,Neutral,4,4,Maybe,Yes,Yes,No,Yes,Neutral,No Opinion,To some extent,Mostly Unfamiliar,15216
Public,260894753,03/06/2017 9:07:37 AM PST,03/08/2017 9:10:23 AM PST,INCOMPLETE,Survey Link,,,,,,,,,,,,,,,,
Public,260894758,03/06/2017 9:07:45 AM PST,03/06/2017 9:15:57 AM PST,COMPLETE,Survey Link,No,No,,Approve,3,3,No,No,No,No,No,Disagree,Neither Support nor Oppose,To some extent,Mostly familiar,15019
Public,260895393,03/06/2017 9:32:50 AM PST,03/06/2017 9:40:57 AM PST,COMPLETE,Survey Link,Yes,Not sure,,Approve,2,5,Yes,Yes,Not sure,Not sure,Yes,Strongly Agree,Actively Support,To a large extent,Mostly familiar,15217
Public,260895726,03/06/2017 9:50:07 AM PST,03/06/2017 9:52:20 AM PST,COMPLETE,Survey Link,No,No,,Approve,2,5,Yes,Not sure,Not sure,Not sure,Not sure,Neutral,Neither Support nor Oppose,To some extent,Mostly familiar,15221
Public,260895801,03/06/2017 9:53:26 AM PST,03/06/2017 9:57:14 AM PST,COMPLETE,Survey Link,No,No,,Approve,2,4,Yes,No,No,No,No,,Actively Support,To some extent,Somewhat familiar,15217
Public,260896183,03/06/2017 10:11:28 AM PST,03/06/2017 10:18:31 AM PST,COMPLETE,Survey Link,No,No,,Somewhat Approve,3,No experience,Not sure,Not sure,Yes,Not sure,Not sure,Disagree,Neither Support nor Oppose,To some extent,Somewhat familiar,15102
Public,260897314,03/06/2017 11:07:28 AM PST,03/06/2017 11:09:42 AM PST,COMPLETE,Survey Link,No,No,,Somewhat Disapprove,2,3,Maybe,Yes,Yes,Yes,Yes,Strongly Agree,Actively Oppose,To a moderate extent,Mostly Unfamiliar,15108
Public,260897330,03/06/2017 11:08:29 AM PST,03/06/2017 11:10:48 AM PST,COMPLETE,Survey Link,Yes,No,,Disapprove,3,2,Not sure,Yes,Yes,No,Yes,Neutral,Neither Support nor Oppose,To little extent,Somewhat familiar,15146
Public,260897339,03/06/2017 11:08:59 AM PST,03/06/2017 11:11:58 AM PST,COMPLETE,Survey Link,No,No,,Somewhat Approve,2,2,Not sure,Yes,Yes,Not sure,No,Agree,Neither Support nor Oppose,To some extent,Mostly Unfamiliar,15068
Public,260897347,03/06/2017 11:09:32 AM PST,03/06/2017 11:11:53 AM PST,COMPLETE,Survey Link,No,No,,Somewhat Disapprove,2,1,No,Yes,Yes,Yes,Yes,Neutral,No Opinion,To some extent,Not familiar at all,15201
Public,260897363,03/06/2017 11:10:37 AM PST,03/06/2017 11:16:24 AM PST,COMPLETE,Survey Link,No,No,,Somewhat Disapprove,3,3,Maybe,Yes,Yes,Not sure,Yes,Neutral,Neither Support nor Oppose,To some extent,Somewhat familiar,15143
Public,260897374,03/06/2017 11:11:15 AM PST,03/06/2017 11:13:28 AM PST,COMPLETE,Survey Link,No,No,,Approve,4,No experience,Yes,Yes,No,No,No,Disagree,Actively Support,To some extent,Somewhat familiar,15222
